1239,-1,276,1,-1,1 to 50 employees
1291,-1,276,1,-1,1 to 50 employees
1642,-1,276,1,-1,1 to 50 employees
78,-1,277,-1,-1,Unknown
79,-1,0,1,-1,1 to 50 employees
80,2011,278,10,25,51 to 200 employees
81,2004,0,-1,-1,1001 to 5000 employees
82,2007,262,500,1000,1001 to 5000 employees
83,-1,256,-1,-1,
84,1962,0,2,5000,1001 to 5000 employees
85,1996,279,500,1000,1001 to 5000 employees
1506,1996,279,500,1000,1001 to 5000 employees
1593,1996,279,500,1000,1001 to 5000 employees
86,2011,164,10,25,201 to 500 employees
87,1995,280,2,5000,1001 to 5000 employees
889,1995,280,2,5000,1001 to 5000 employees
1122,1995,280,2,5000,1001 to 5000 employees
1197,1995,280,2,5000,1001 to 5000 employees
1283,1995,280,2,5000,1001 to 5000 employees
1502,1995,280,2,5000,1001 to 5000 employees
1656,1995,280,2,5000,1001 to 5000 employees
1779,1995,280,2,5000,1001 to 5000 employees
88,-1,101,1,5,1 to 50 employees
89,-1,209,-1,-1,1 to 50 employees
90,-1,281,-1,-1,501 to 1000 employees
91,2017,3,-1,-1,201 to 500 employees
92,-1,0,10,25,1 to 50 employees
93,2012,0,-1,-1,1001 to 5000 employees
94,2011,282,10,25,201 to 500 employees
95,1967,202,1,2000,1001 to 5000 employees
96,1799,0,10000,-1,10000+ employees
256,1799,0,10000,-1,10000+ employees
1164,1799,0,10000,-1,10000+ employees
1448,1799,0,10000,-1,10000+ employees
97,-1,0,25,50,201 to 500 employees
98,-1,0,-1,-1,51 to 200 employees
99,-1,283,5,10,51 to 200 employees
100,2004,284,50,100,501 to 1000 employees
300,2004,284,50,100,501 to 1000 employees
101,-1,3,-1,-1,51 to 200 employees
102,-1,256,-1,-1,
103,-1,0,-1,-1,51 to 200 employees
104,1918,0,100,500,501 to 1000 employees
105,1948,179,2,5000,10000+ employees
285,1948,179,2,5000,10000+ employees
363,1948,179,2,5000,10000+ employees
427,1948,179,2,5000,10000+ employees
477,1948,179,2,5000,10000+ employees
693,1948,179,2,5000,10000+ employees
756,1948,179,2,5000,10000+ employees
794,1948,179,2,5000,10000+ employees
900,1948,179,2,5000,10000+ employees
1275,1948,179,2,5000,10000+ employees
1363,1948,179,2,5000,10000+ employees
1411,1948,179,2,5000,10000+ employees
1488,1948,179,2,5000,10000+ employees
106,1994,0,25,50,51 to 200 employees
107,2014,0,-1,-1,1 to 50 employees
108,1967,272,10000,-1,10000+ employees
214,1967,272,10000,-1,10000+ employees
689,1967,272,10000,-1,10000+ employees
751,1967,272,10000,-1,10000+ employees
1096,1967,272,10000,-1,10000+ employees
109,1895,13,100,500,1001 to 5000 employees
110,2004,6,5,10,501 to 1000 employees
111,2018,0,-1,-1,1 to 50 employees
112,-1,0,100,500,1001 to 5000 employees
113,-1,0,-1,-1,51 to 200 employees
114,1845,0,10000,-1,10000+ employees
115,1968,0,1,5,1 to 50 employees
116,-1,0,-1,-1,1 to 50 employees
193,-1,0,-1,-1,1 to 50 employees
117,2008,93,50,100,51 to 200 employees
370,2008,93,50,100,51 to 200 employees
399,2008,93,50,100,51 to 200 employees
409,2008,93,50,100,51 to 200 employees
615,2008,93,50,100,51 to 200 employees
745,2008,93,50,100,51 to 200 employees
884,2008,93,50,100,51 to 200 employees
976,2008,93,50,100,51 to 200 employees
998,2008,93,50,100,51 to 200 employees
1032,2008,93,50,100,51 to 200 employees
1094,2008,93,50,100,51 to 200 employees
1247,2008,93,50,100,51 to 200 employees
1359,2008,93,50,100,51 to 200 employees
1414,2008,93,50,100,51 to 200 employees
1452,2008,93,50,100,51 to 200 employees
1489,2008,93,50,100,51 to 200 employees
1608,2008,93,50,100,51 to 200 employees
1702,2008,93,50,100,51 to 200 employees
1727,2008,93,50,100,51 to 200 employees
1754,2008,93,50,100,51 to 200 employees
1774,2008,93,50,100,51 to 200 employees
118,1911,285,10000,-1,10000+ employees
500,1911,285,10000,-1,10000+ employees
119,1997,15,10000,-1,10000+ employees
120,1995,255,25,50,201 to 500 employees
121,2015,0,-1,-1,1 to 50 employees
122,1832,286,10000,-1,10000+ employees
123,2009,0,25,50,201 to 500 employees
124,-1,287,1,5,51 to 200 employees
125,-1,0,-1,-1,201 to 500 employees
126,-1,288,5,10,51 to 200 employees
127,1934,255,2,5000,10000+ employees
128,1998,0,10,25,1001 to 5000 employees
129,-1,289,1,5,1 to 50 employees
130,1990,290,100,500,1001 to 5000 employees
131,-1,291,-1,-1,1 to 50 employees
132,-1,292,-1,-1,201 to 500 employees
562,-1,292,-1,-1,201 to 500 employees
133,1938,0,2,5000,10000+ employees
134,2008,293,10,25,201 to 500 employees
1134,2008,293,10,25,201 to 500 employees
135,2002,294,-1,-1,1001 to 5000 employees
136,1963,0,100,500,10000+ employees
137,1996,295,1,5,1 to 50 employees
1415,1996,295,1,5,1 to 50 employees
1525,1996,295,1,5,1 to 50 employees
1562,1996,295,1,5,1 to 50 employees
138,1994,232,10000,-1,10000+ employees
811,1994,232,10000,-1,10000+ employees
1287,1994,232,10000,-1,10000+ employees
139,-1,256,-1,-1,Unknown
140,2013,0,-1,-1,51 to 200 employees
141,2013,0,1,2000,10000+ employees
142,-1,256,-1,-1,
143,1992,201,10,25,51 to 200 employees
144,-1,296,25,50,201 to 500 employees
145,1977,0,10,25,51 to 200 employees
146,-1,256,-1,-1,
212,-1,256,-1,-1,
147,-1,297,10,25,51 to 200 employees
148,2000,0,-1,-1,201 to 500 employees
149,-1,256,-1,-1,
575,-1,256,-1,-1,
679,-1,256,-1,-1,
150,2015,0,-1,-1,51 to 200 employees
151,-1,0,-1,-1,Unknown
152,1984,262,100,500,501 to 1000 employees
153,1886,3,25,50,201 to 500 employees
154,-1,273,1,5,1 to 50 employees
807,-1,273,1,5,1 to 50 employees
852,-1,273,1,5,1 to 50 employees
1018,-1,273,1,5,1 to 50 employees
1256,-1,273,1,5,1 to 50 employees
155,1862,298,10000,-1,10000+ employees
169,1862,298,10000,-1,10000+ employees
156,-1,299,-1,-1,1 to 50 employees
157,1999,300,50,100,501 to 1000 employees
158,2008,11,50,100,201 to 500 employees
159,1906,0,10000,-1,10000+ employees
160,2015,0,-1,-1,1 to 50 employees
161,-1,0,-1,-1,Unknown
162,2012,0,-1,-1,201 to 500 employees
163,2004,0,-1,-1,201 to 500 employees
636,2004,0,-1,-1,201 to 500 employees
164,1997,301,25,50,1001 to 5000 employees
711,1997,301,25,50,1001 to 5000 employees
1026,1997,301,25,50,1001 to 5000 employees
1392,1997,301,25,50,1001 to 5000 employees
1810,1997,301,25,50,1001 to 5000 employees
165,-1,256,-1,-1,
842,-1,256,-1,-1,
166,1981,302,50,100,51 to 200 employees
1413,1981,302,50,100,51 to 200 employees
